Company Name,Industry,Round/Series,Amount,Location,About Company,year
BYJU’S,"EdTech, Education, Higher Education, Secondary Education",Private Equity,"$540,000,000","Bangalore, Karnataka, India",BYJU’s is an edtech company that is reinventing how students learn through its learning app.,2018
Wakefit,"Manufacturing, Retail",Venture - Series Unknown,"₹650,000,000","Bangalore, Karnataka, India",Wakefitkart is a mattress manufacturing company. We manufacture the best quality mattresses at affordable prices.,2018
Hero Electric,Manufacturing,Venture - Series Unknown,"₹1,600,000,000","New Delhi, Delhi, India","Hero Electric, a 100% subsidiary of the Hero Group, is a pioneer in the Indian Electric Vehicle Industry.",2018
Pentation Analytics,"Information Services, Information Technology, InsurTech",Seed,—,"Mumbai, Maharashtra, India",Pentation as an Insurtech enables insurers and intermediaries with our Insurance Analytics Suite- an Insurance specific AI/ML Software Suite,2018
PerkFinance,"Consumer Lending, FinTech",Seed,"$900,000","Bangalore, Karnataka, India",PerkFinance partners with employers to provide affordable loans to their employees at no cost to the company,2018
Roposo,"Internet, Social Network, TV",Series C,"$10,000,000","Gurgaon, Haryana, India",Roposo - TV by the People is a unique social media platform where people express visually with homemade videos and photos.,2018
Plum Goodness,"Beauty, Health Care",Series A,—,"Thane, Maharashtra, India",Plum Haircare Is Silicone-Free & Sulphate-Free. Designed For Damaged & Dandruff-Free Hair,2018
Drstore,Hospital,Seed,—,"Mumbai, Maharashtra, India",Drstore is a exclusive e- commerce platform.,2018
Wow Venue,Events,Venture - Series Unknown,"$1,500,000","Mumbai, Maharashtra, India",Wow Venue is an online platform.,2018
Chizel,"3D Printing, Manufacturing, Product Design",Seed,—,"Pune, Maharashtra, India",Chizel is a worlds most advanced cloud platform for on-demand manufacturing in 3D Printing and CNC Machining,2018
OTO Capital,Automotive,Seed,"₹50,000,000","Mumbai, Maharashtra, India",OTO Capital is a platform that allows you to own a car faster than ever.,2018
Boodmo,"Automotive, Retail",Seed,"₹70,000,000","Gurgaon, Haryana, India",boodmo.com - large online marketplace for auto parts in India.,2018
Khabri,"Apps, Audio",Seed,—,"Haryana, Haryana, India",Khabri is a digital audio platform for content in vernacular.,2018
MyNewCar.in,"Automotive, E-Commerce",Venture - Series Unknown,"$1,000,000","Gurgaon, Haryana, India",MyNewCar.in offers new cars at best price with great deals. Book a new car online or request a doorstep test drive,2018
HalaPlay Technologies,"Digital Entertainment, Fantasy Sports, Sports",Series A,"$5,000,000","Bangalore, Karnataka, India",A daily fantasy sports platform.,2018
PlanetSpark,"E-Learning, EdTech, Education",Seed,"₹16,000,000","Gurgaon, Haryana, India",PlanetSpark is an after-school Maths and English learning program for pre teen kids between Grades 2nd to 7th.,2018
WheelsEMI,—,Series B,"$14,000,000","Pune, Maharashtra, India","WheelsEMI is the brand name of NBFC, WheelsEMI Pvt. Ltd.",2018
Forum for Innovation Incubation Research and Entrepreneurship,"Funding Platform, Incubators, Non Profit",Grant,"₹102,500,000","Margão, Goa, India","FiiRE, a technology business incubator helps the startup process to move from the garage to the lab.",2018
OYO,"Hospitality, Hotel, Leisure, Travel",Series E,"$100,000,000","Gurgaon, Haryana, India",OYO is an Indian hospitality startup that operates a network of budget hotels.,2018
Quikr,"Classifieds, Internet, Marketplace, Rental Property",Debt Financing,"₹550,000,000","Bangalore, Karnataka, India","Quikr is a free classifieds and online marketplace that helps users sell, buy, rent, or discover anything across India.",2018
Tabono,Sports,Seed,—,"Gurgaon, Haryana, India",Tabono is a one stop environment for all your fitness solution.,2018
LearnApp,"Banking, E-Learning, Trading Platform",Seed,"₹20,000,000","Noida, Uttar Pradesh, India","Learnapp.co - Video courses & live classes in investing, trading, banking and finance.",2018
Shopkirana,"E-Commerce, Mobile, Retail",Venture - Series Unknown,"$2,000,000","Indore, Madhya Pradesh, India",Shopkirana connects brands and traditional retailers with the help of technology and supply chain innovation.,2018
Fric Bergen,—,Venture - Series Unknown,—,"Alwar, Rajasthan, India",Fric Bergen is a leader in the specialty food industry.,2018
Articbot,"Artificial Intelligence, Information Technology",Grant,"₹1,200,000","Kannur, Kerala, India",Articbot is a conversational AI platform for automated customer support and lead generation,2018
BuildSupply,"Enterprise Resource Planning (ERP), Information Services, Information Technology, Real Estate",Series A,"₹250,000,000","Gurgaon, Haryana, India",India’s most advanced ERP system for the real estate,2018
Fusion Microfinance,"Banking, Finance, Financial Services",Series E,"₹5,200,000,000","New Delhi, Delhi, India",Fusion Microfinance Pvt. Ltd. is an NBFC registered with RBI,2018
Any time Doctor,Software,Angel,—,"Chennai, Tamil Nadu, India",Anytime Doctor is a Software company.,2018
Go Payments,"Information Services, Information Technology",Corporate Round,—,"Mumbai, Maharashtra, India",Go Payments was founded with the mission of assisting consumers with performing a whole host of financial services at their doorstep.,2018
Guiddoo World,"Audio, Mobile, Tourism, Travel",Seed,"$800,000","Mumbai, Maharashtra, India",We build In-Destination Experiences!,2018
ION Energy,"Energy, Energy Storage, Infrastructure",Venture - Series Unknown,"$1,041,000","Mumbai, Maharashtra, India",A stealth startup building a layer of infrastructure for highly efficient energy storage systems.,2018
UnoTag,Artificial Intelligence,Pre-Seed,"$100,000","Bangalore, Karnataka, India",SaaS to verify counterfeit,2018
CivilCops,"Government, Information Technology, Software",Pre-Seed,"$100,000","Gurgaon, Haryana, India",Gov-Tech,2018
Rockmetric,Information Technology,Grant,—,"Mumbai, Maharashtra, India","Smarter analytics to understand how each customer uses your product. Drive growth in conversion, retention and engagement.",2018
Classworks India,"Education, Information Technology, Internet, Mobile, Software",Undisclosed,"₹100,000","Chennai, Tamil Nadu, India","Saas, Web App, Mobile App, School Education",2018
Snapmint,"Consumer Lending, Financial Services, Lending, Personal Finance",Seed,—,"Mumbai, Maharashtra, India","Snapmint facilitates simplified, fairly-priced and hassle-free EMI options without a Credit Card.",2018
artbandhu,"Digital Media, Internet, Media and Entertainment, Online Portals, Social Media",Pre-Seed,"$15,000","Bangalore, Karnataka, India",Ai platform for Art and Creative Community,2018
Survaider,"Business Intelligence, Customer Service, Market Research, SaaS",Seed,500000,"Bengaluru, Karnataka, India",Stethoscope for customer feedback !,2018
Credy,"Credit, Financial Services, FinTech, Lending",Seed,1400000,"Bengaluru, Karnataka, India",Credy is a fintech platform that connects borrowers seeking capital with lenders seeking market beating returns.,2018
iChamp,E-Learning,Seed,5000000,"Gurgaon, Haryana, India",iChamp is an e education innovation product from RNM E-Services Pvt Ltd.,2018
Qandle,Software,Seed,1200000,"Gurgaon, Haryana, India",A cloud-based HR management and employee engagement platform.,2018
Avishkaar Box,"Children, Education, Parenting",Seed,"₹50,000,000","Delhi, Delhi, India","Avishkaar Box is just not another box full of material rather it is a well researched, thought through solution",2018
Gegadyne Energy,"Automotive, Battery, Energy, Energy Storage",Angel,—,"Mumbai, Maharashtra, India",A Mumbai-based startup Electric Vehicle (EV) & Energy Storage company.,2018
HyperXchange,"E-Commerce, Mobile, Sharing Economy",Series A,1000000,"Pune, Maharashtra, India",hyperXchange is India's fastest growing O2O marketplace for premium refurb gadgets,2018
Deftouch,—,Seed,—,"Bangalore, Karnataka, India",Deftouch is a mobile game development company that currently focuses on winning the Cricket gaming market with a social multiplayer game.,2018
Doodhwala,"Food Delivery, Organic, Organic Food",Seed,2200000,"Bengaluru, Karnataka, India",Doodhwala is an online milk delivery startup that offers over 70 varieties of milk along with a plan based on clients' requirement.,2018
DronaHQ,Mobile,Angel,500000,"Mumbai, Maharashtra, India",DronaHQ is an enterprise mobile engagement platform.,2018
FastFox,Rental,Series A,"₹100,000,000","Gurgaon, Haryana, India",FastFox: Market Network for Home Rentals (India),2018
BuyForexOnline,Travel,https://docs.google.com/spreadsheets/d/1x9ziNeaz6auNChIHnMI8U6kS7knTr3byy_YBGfQaoUA/edit#gid=1861303593,2000000,"Bangalore, Karnataka, India",BuyForexOnline.com is India's first completely online provider for buying Foreign Exchange.,2018
Colive.in,Consumer,Seed,1800000,"Bangalore, Karnataka, India",A technology powered network of Branded Serviced Homes conveniently located near educational institutions & workplaces.,2018
Agricxlab Private Limited,"B2B, Farming, Marketplace",Seed,500000,"Thane, Maharashtra, India",Online marketplace where farmers and traders can sell their produce to B2B buyers,2018
Corefactors,—,Seed,—,"Bangalore, Karnataka, India","Corefactors is a leading campaign management, business communication and analytics company.",2018
Fincash.com,Wealth Management,Seed,150000,"Mumbai, Maharashtra, India",A startup in the personal finance space in India .,2018
Pandorum Technologies,Biotechnology,Series A,3600000,"Bengaluru, Karnataka, India",Bengaluru based biotech startup.,2018
Shirsa Labs,"Education, Gaming, Training",Seed,500000,"Mumbai, Maharashtra, India",Shirsa Labs is a cognitive skill assessment and training portal that provides children with fun educational games.,2018
PetSutra,Veterinary,Seed,"₹9,500,000","Gurgaon, Haryana, India",Gurugram-based Online petcare platform.,2018
Awaaz De,"Internet, Mobile, Social Entrepreneurship, Telecommunications, Wireless",Angel,—,"Ahmedabad, Gujarat, India",Awwaz.De develops inclusive mobile solutions that enable organizations to achieve last-mile connectivity for social impact.,2018
PinkBlue,"Health Care, Hospital, Supply Chain Management",Seed,300000,"Bangalore, Karnataka, India",PinkBlue.in - Super-efficient supply-chain for clinical supplies,2018
Eduvanz,"Finance, Financial Services",Angel,500000,"Mumbai, Maharashtra, India","Eduvanz is new, innovative finance company, which is completely revolutionizing the student loan market.",2018
Rupeek,"Financial Services, Lending",Series A,6830000,"Bangalore, Karnataka, India",Rupeek is an asset backed online lending platform currently operating in the space of Gold loans.,2018
Backpacker Panda Holidays Private Limited,"Tourism, Travel",Series A,1400000,"Pune, Maharashtra, India",Backpacker Panda is creating an ecosystem for youth accommodation and travel.,2018
Shape (School Health and Physical Education),Education,Seed,200000,"Pune, Maharashtra, India",Physical education start up,2018
Placio,"Hospitality, Real Estate",Seed,2000000,"Noida, Uttar Pradesh, India",Placio is a student housing and a complete broker-free platform.,2018
Aviom India Housing Finance,Finance,Series A,"₹150,000,000","New Delhi, Delhi, India",Delhi based housing finance company.,2018
GenRobotic,Market Research,Seed,—,"Trivandrum, Kerala, India",A Robotic Company.,2018
HeyHolidays,"Tourism, Travel",Seed,1000000,"Bangalore, Karnataka, India","HeyHolidays, a global player in online vacation rentals.",2018
Pratilipi,"Digital Media, EBooks, Publishing, Reading Apps",Series A,4300000,"Bengaluru, Karnataka, India",Amazon's Kindle Direct Publishing for Indian Languages,2018
SectorQube,"Consumer Electronics, Embedded Systems, Hardware, Smart Building, Software",Seed,—,"Ernakulam, Kerala, India",SectorQube develops smart kitchen devices that make food automatically.,2018
Food Memories,"Food and Beverage, Food Processing",Seed,—,"Ahmedabad, Gujarat, India",Iconic Indian Delicacies from the most renowned vendors of India Delivered Globally.,2018
ZAMROO,"Internet, Marketplace, Shopping",Seed,—,"India, Asia",Zamroo is a growing mobile marketplace that allows users to buy and sell locally.,2018
Silversparro Technologies Pvt. Ltd,"Analytics, Computer Vision, Enterprise Software, Machine Learning, Natural Language Processing, Speech Recognition",Seed,300000,"Gurgaon, Haryana, India",Silversparro is a deep learning technology solution provider.,2018
Creator’s Gurukul,Facilities Support Services,Angel,—,"Gurgaon, Haryana, India",A coworking space provider.,2018
Emflux Motors,"Automotive, Electric Vehicle, Energy",Seed,364846,"Bengaluru, Karnataka, India",Emflux Motors is committed to bring clean and sustainable energy into a state of universal acceptance through technological innovation.,2018
Tricog Health Services Pvt Ltd,"Health Care, Health Diagnostics, Predictive Analytics",Series A,4000000,"Bangalore, Karnataka, India",Predictive Healthcare Analytics Company,2018
Scapic,"Cloud Computing, Computer, SaaS, Software",Seed,500000,"Bangalore, Karnataka, India",Virtual/Augmented Reality Start Up .,2018
6Degree,"Fashion, Lifestyle, Retail",Seed,400000,"Mumbai, Maharashtra, India",A fashion enterprise that provides a launchpad to fashion talent and brands using a tech enabled platform,2018
Chrysalis (EZ Vidya),Education,Seed,—,"Chennai, Tamil Nadu, India",Chrysalis (EZ Vidya) is India’s leading educational research and innovation organization,2018
Ekincare,Medical,Series A,1500000,"Hyderabad, Andhra Pradesh, India",EKincare empowers you to take charge of your health by enabling you to monitor critical medical info and make it available anywhere.,2018
Streo,Music Streaming,Seed,—,"Gurgaon, Haryana, India","Live stream music from nightclubs, bars & festivals!",2018
Groww,"Finance, Impact Investing, Internet",Seed,120000,"Kormangala, Karnataka, India",Groww offers a new way of investing money.,2018
Cell Propulsion,—,Seed,"₹7,000,000","Bangalore, Karnataka, India",Cell Propulsion is an electric mobility startup that designs autonomous electric vehicles.,2018
Chezuba,"Internet, Social Entrepreneurship",Angel,"₹1,400,000","Hyderabad, Andhra Pradesh, India",Chezuba is a web-based platform enabling skilled professionals to volunteer online with Non-profits worldwide,2018
Ontrack Technologies Pvt. Ltd,Retail,Seed,—,"Bangalore, Karnataka, India",Ontrack provides affordable independent transport to those dependent on cabs and autos for commute by renting bikes on a monthly basis.,2018
Wealthtrust,"Finance, Impact Investing, Mobile Apps",Seed,500000,"Mumbai, Maharashtra, India",Wealthtrust offers a wealth manager application that enables its users to invest and manage their investments online.,2018
Faclon Labs,"Cloud Computing, Computer, Software",Seed,—,"Mumbai, Maharashtra, India",Faclon is an IoT and data analytics based tech startup building products to make cities and villages smart.,2018
Awign Enterprises,"Business Development, Market Research, Outsourcing",Seed,"₹50,000,000","Bangalore, Karnataka, India",Operations and manpower outsourcing startup,2018
CollPoll,Education,Seed,—,"Bangalore, Karnataka, India",World-class Enterprise System for Education.,2018
Zyla Health,"Health Care, Hospitality",Seed,—,"New Delhi, Delhi, India",Zyla is transforming the way healthcare is delivered in India with specific focus on high-risk chronic patients.,2018
Hubhopper,"Internet, Social News, Sports",Series A,500000,"Delhi, Delhi, India",Get your daily dose of interest as summaries from news and magazine stories .,2018
Rubix108 Technologies,Information Technology,Seed,1000000,"Pune, Maharashtra, India",Rubix Total App makes it effortless for Institutes to send home important information and updates about the day’s learning experiences.,2018
Workflexi,Human Resources,Seed,"₹10,000,000","Bangalore, Karnataka, India","Be Smart, Work on Contract,Be Smart, Hire on Contract",2018
Streak,Financial Services,Seed,"₹22,500,000","Bangalore, Karnataka, India",Algorithmic trading platform.,2018
Kuants,Financial Services,Seed,"₹5,000,000","Gurgaon, Haryana, India",Algorithmic trading platform.,2018
NiYO Solutions,"Finance, Financial Services, FinTech",Series A,13200000,"Bangalore, Karnataka, India",NiYO is a fintech company that helps salaried employees access company benefits and other financial services.,2018
Hippo Video,"Customer Service, Software, Video, Video Streaming",Seed,—,"Chennai, Tamil Nadu, India",A video recording and sharing software.,2018
Satvacart,"E-Commerce, Food Processing",Seed,—,"Gurgaon, Haryana, India",Satvacart is a Gurgaon’s largest online supermarket,2018
Daaki,Health Care,Angel,—,"Bangalore, Karnataka, India",Sports Nutrition startup,2018
Simulanis,Training,Seed,500000,"New Delhi, Delhi, India",A Delhi-based Augmented Reality and Virtual Reality technology development company.,2018
MY CHIRAAG CAB,Travel,Seed,1000000,"Jaipur, Rajasthan, India",MY CHIRAAG CAB SERVICES PVT LTD,2018
WOTU,Food and Beverage,Seed,—,"Bangalore, Karnataka, India",It operates a business-to-business e-commerce portal for food and beverages.,2018
Flathalt,—,Angel,50000,"Gurgaon, Haryana, India",FInd your Customized Home here.,2018
True Elements,"Dietary Supplements, Food and Beverage, Health Care, Organic Food, Snack Food",Seed,"₹50,000,000","Pune, Maharashtra, India",True elements offers a range of high-quality snacks and supplements that are inspired by natural foods consumed by our ancestors.,2018
Trendlyne Technologies,Financial Services,Seed,200000,"Bangalore, Karnataka, India",Trendlyne Technologies is a stock market analytics platform and marketplace for retail investors.,2018
Planys Technologies,"Manufacturing, Oil and Gas, Robotics",Series A,"₹140,200,000","Chennai, Tamil Nadu, India",Planys Technologies is India’s first and only manufacturer of compact ROVs providing underwater robotic inspection and survey solutions.,2018
HealthPlix,"Fitness, Health Care, Wellness",Series A,3000000,"Bangalore, Karnataka, India",HealthPlix is a healthtech startup,2018
dishq,—,Seed,400000,"Bengaluru, Karnataka, India",dishq leverages food science and machine learning (AI) to understand and predict people's tastes.,2018
Entropik Technology,"Artificial Intelligence, Computer, Machine Learning",Seed,1100000,"Bengaluru, Karnataka, India",The boundaries between Human and Machines are shrinking fast.,2018
myHQ,"Collaboration, Communities, Coworking, Sharing Economy",Series A,500000,"Delhi, Delhi, India",myHQ turns your everyday coffee space into a perfect work zone. Get an amazing work environment without paying any rent.,2018
Trell,—,Seed,1250000,"Bangalore City, Karnataka, India",Trell is a location based network which helps you in exploring amazing experiences and annotating places around you.,2018
Kidovators (by GyanLab),"Big Data, EdTech, Machine Learning",Seed,180000,"Bangalore, Karnataka, India",Building future human capital through 21st Century Skills programs for K-12,2018
Log 9 Materials,Nanotechnology,Seed,"₹30,000,000","Uttar Pradesh, India, Asia",Log 9 Materials is a nano-materials manufacturing and RnD startup,2018
VTION,"Analytics, Audio, Digital Media, Innovation Management, Internet Radio, Media and Entertainment",Seed,"₹19,200,000","Gurgaon, Haryana, India",VTION is a media technology innovation firm aiming to solve key problems in the media based ecosystem.,2018
HousingMan.com,—,Seed,"₹103,000,000","Bengaluru, Karnataka, India","New Apartments, Flats for Sale in Bangalore",2018
Steradian Semiconductors,—,Seed,—,"Bangalore, Karnataka, India",It is a fabless semiconductor company focused on CMOS millimeter wave products for Radar.,2018
RupeeCircle,"Financial Services, Lending, Peer to Peer",Seed,"₹40,000,000","Mumbai, Maharashtra, India",RupeeCircle is a new age finance company.,2018
Wooden Street,"E-Commerce, Furniture, Home Decor, Interior Design, Internet",Series A,1000000,"Jaipur, Rajasthan, India",Woodenstreet.com ensures to fulfill customer’s unique furniture requirements by crafting one-of-a-kind furniture pieces.,2018
The Ken,Digital Media,Series A,1500000,"Bengaluru, Karnataka, India",The Ken is India’s first subscriptions-only business news site,2018
SaffronStays,—,Seed,2000000,"Mumbai, Maharashtra, India",SaffronStays connects travellers to India's Incredible hosts.,2018
Vebbler,"File Sharing, Personalization, Social Media",Seed,—,"Bengaluru, Karnataka, India",A personal network for close people,2018
Foyr,"Home Decor, Interior Design",Series A,4200000,"Pune, Maharashtra, India","Foyr.com is India's first online, automated interior designer",2018
MEngage,"Health Care, Medical Device, Mobile Apps",Seed,175000,"Jaipur, Rajasthan, India",MEngage is a mass consumer engagement application for doctors on both android and IOS platforms.,2018
Inner Being Wellness,—,Angel,"₹35,000,000","Hyderabad, Andhra Pradesh, India","Inner Being Wellness manufactures beauty, wellness, and nutrition products.",2018
Kobster,"E-Commerce, Facilities Support Services, Procurement, Supply Chain Management",Seed,—,"Chennai, Tamil Nadu, India",Kobster is a pioneer of B2B eProcurement and an eMarketplace providing Corporates an end-to-end solution for their procure-to-pay cycle.,2018
Wishberry,"Crowdfunding, Finance, Financial Services",Series A,"₹100,000,000","Mumbai, Maharashtra, India",Wishberry is a rewards-based crowdfunding platform that enables users to raise funds for their creative and innovative ideas.,2018
McXtra,"Finance, Financial Services, Insurance",Seed,1300000,"Andheri, Maharashtra, India",McXtra is a digital insurance broking startup.,2018
Magic Crate,"Children, Education, Online Portals",Seed,—,"Bangalore, Karnataka, India","Magic Crate is a theme based stimulating, fun and learning activity box for 4-8 year olds that is mailed to your doorstep every month.",2018
SmartVizX,"Software, Virtual Reality",Seed,1450000,"Noida, Uttar Pradesh, India",It is a Virtual Reality Solutions StartUp,2018
MySEODoc,—,Seed,—,"Delhi, Delhi, India","SEO, PPC, Search Engine Marketing, Social Media Optimization, Content Marketing, Brand Reputation Management",2018
ENLYFT DIGITAL SOLUTIONS PRIVATE LIMITED,—,Seed,"₹200,000","Pune, Maharashtra, India",Digital Marketing Agency,2018
Scale Labs,—,Seed,1000000,"Delhi, Delhi, India",Scale Labs is a cross border e-commerce solutions provider that drives global trade for brands.,2018
HungerBox,"B2B, Food and Beverage, Food Delivery",Series A,4500000,"Bengaluru, Karnataka, India",HungerBox is a full stack B2B F&B technology company delivering food solutions for the corporates in India.,2018
Biryani By Kilo,"Catering, Food and Beverage, Food Delivery, Food Processing",Seed,1000000,"Noida, Uttar Pradesh, India",BBK delivers both authentic taste of Hyderabadi and Lucknowi Biryani prepared in individual earthen Handis with the freshest ingredients.,2018
Wholesome Habits (EAT Anytime),"Food and Beverage, Snack Food",Seed,500000,"Mumbai, Maharashtra, India",Wholesome Habits (EAT Anytime) is a healthy snacks Company.,2018
GoBumpr,"Automotive, E-Commerce, Mobile",Seed,600000,"Mylapore, Tamil Nadu, India",Car Service and Bike Service Mobile App,2018
Fixpocket,"Computer, Digital Marketing, Facilities Support Services, Graphic Design, Internet, Mobile Apps, Social Media Marketing, Web Development",Seed,250000,"Ahmedabad, Gujarat, India",Fixpocket is a internet-based startup.,2018
edureka!,"Android, Big Data, Blockchain, Cloud Computing, EdTech, Education, Information Technology, iOS, Training, Web Development",Series A,2000000,"Bangalore, Karnataka, India","Edureka is the fastest growing online learning platform that offers live, instructor-led courses for professionals from various industries.",2018
Hashtag Loyalty Private Limited,"Analytics, CRM, Loyalty Programs, Machine Learning, Marketing Automation, Retail Technology, SaaS, Small and Medium Businesses",Seed,—,"Mumbai, Maharashtra, India",Hashtag Loyalty is a customer engagement and marketing automation tool for local businesses.,2018
