Company Name,Industry,Round/Series,Amount,Location,About Company,year
Wow Express,"Delivery, Information Technology, Mobile Apps",Series A,4500000,"Mumbai, Maharashtra, India","WOW, as customers react to his studiously taught, trained, polite and courteous nature.",2018
ZunRoof,"Environmental Consulting, Renewable Energy",Angel,"₹16,600,000","Gurgaon, Haryana, India",ZunRoof is a rooftop focused solar startup.,2018
Eggoz,"Food and Beverage, Food Processing",Angel,"₹12,000,000","Indore, Madhya Pradesh, India",Eggoz is a full-stack layer poultry business operator & service provider .,2018
Sqrrl Fintech,"Big Data, Business Intelligence, Financial Services, FinTech, Personal Finance",Seed,1000000,"Gurgaon, Haryana, India",Personal Finance,2018
GalaxyCard,"Finance, Financial Services, FinTech",Seed,—,"Noida, Uttar Pradesh, India",GalaxyCard is a mobile based Instant credit card.,2018
IndiQube,"Commercial Real Estate, Coworking, Office Administration, Real Estate",Series A,15000000,"Bengaluru, Karnataka, India",IndiQube is a provider of co-working spaces based in Bengaluru.,2018
EGK Foods,"Food and Beverage, Food Processing, Organic Food, Snack Food",Seed,"₹20,000,000","Mumbai, Maharashtra, India",A food processing enterprise registered with StartUp India .,2018
NirogStreet,"Apps, Health Care, Internet, Mobile Apps, Personal Health",Seed,300000,"Gurgaon, Haryana, India",NirogStreet is an Ayurvedic doctor discovery and appointment booking platform where patients can easily find doctors and fix consultation.,2018
Pixr8,"Digital Media, Incubators, Social Entrepreneurship",Seed,50000,"Ghaziabad, Uttar Pradesh, India",Pixr8 is a global media platform dedicated to Start-ups and business organisations for promoting entrepreneurship work.,2018
Nivesh.com,"Finance, Financial Services, Marketing",Seed,"₹30,000,000","Noida, Uttar Pradesh, India",Nivesh.com is a mass market mutual funds investment platform.,2018
Theranosis Life Sciences,"Biotechnology, Health Care, Life Science, Medical Device",Seed,—,"Hyderabad, Andhra Pradesh, India",A fully functioning cell culture facility and molecular biology setup.,2018
Poshmiles Online Solutions Private Limited,Travel,Seed,—,"Bengaluru, Karnataka, India",Poshmiles aims to help point travellers to long weekend trips at popular and undiscovered destinations based on budget & interest.,2018
Reculta,"Education, Human Resources",Seed,—,"Noida, Uttar Pradesh, India",A campus recruitment solution provider.,2018
Orbo.ai,Internet,Seed,—,"Mumbai, Maharashtra, India",Orbo is a computer vision and deep facial technology company.,2018
Inntot Technologies,Consumer Electronics,Seed,—,"Kochi, Kerala, India","Inntot Technologies, is a technology driven company.",2018
Zoctr Health,"Apps, Health Care, Hospital, Mobile Apps",Seed,—,"Powai, Assam, India",Zoctr Health Network is a first-of-its kind pan-India Home & Telehealth Company,2018
Hey Deedee,"Delivery Service, Logistics, Service Industry",Seed,"₹33,000,000","Mumbai, Maharashtra, India",Hey Deedee is a Mumbai-based company that provides solutions to parcel delivery problems.,2018
DigiConnectt Technologys,"Information Services, Information Technology",Seed,125000,"Bengaluru, Karnataka, India",A technology company focused on introducing products that will accelerate and enhance sales productivity and effectiveness .,2018
Locus.sh,"Big Data, Data Visualization, Logistics, Software",Series A,4000000,"Bangalore, Karnataka, India",Locus is an intelligent logistics automation platform.,2018
Sports Flashes Pvt. Ltd,"Basketball, Cricket, Cycling, eSports, Fitness, Golf, Health Care, Hockey, Sports, Swimming, Table Tennis, Volley Ball",Seed,1000000,"New Delhi, Delhi, India","Sports Flashes operates a sports content app that provides sports news, live scores, fantasy gaming, expert views, trivia, and more.",2018
Inc42,"Media and Entertainment, News, Publishing",Seed,—,"New Delhi, Delhi, India",Inc42 is one of the leading tech media publications of India.,2018
Picxy,Internet,Seed,130000,"Guntur, Andhra Pradesh, India","A stock photo startup based in Amravati, Andhra Pradesh.",2018
Huddle,Consulting,Seed,300000,"Haryana, Haryana, India",A coworking incubator Company.,2018
Benepik,Human Resources,Seed,—,"Gurgaon, Haryana, India",HR Technology start-up.,2018
Cash Suvidha,Finance,Seed,1000000,"New Delhi, Delhi, India",Cash Suvidha is an Digital Lending Platform that provide working capital finance to SMEs and MSMEs in India.,2018
Smartcoin,"Big Data, Financial Services, Machine Learning, Predictive Analytics",Seed,2000000,"Bangalore, Karnataka, India",Providing financial access to the millions of mobile users in India using alternative credit assessment,2018
Carmel Organics,"Agriculture, AgTech, Manufacturing",Series A,—,"Indore, Madhya Pradesh, India","Carmel Organics is an India-based herb company engaged in sourcing, processing, and distributing herbal tea ingredients.",2018
Roadcast,—,Angel,250000,"New Delhi, Delhi, India",Transforming the way businesses deliver. Work-force & fleet mobility tools.,2018
Printline Media(ThePrint),"Digital Media, News, Publishing",Seed,"₹34,900,000","New Delhi, Delhi, India",A digital news platform.,2018
Creditas Solutions,Financial Services,Seed,—,"Gurgaon, Haryana, India",Creditas was set-up in 2015 with an aim to help Financial Institutions find better ways to reach and interact with their customers.,2018
UrbanPiper,Software,Seed,—,"Bengaluru, Karnataka, India",UrbanPiper offers restaurants and chains with a suite of products to manage and analyze their online presence.,2018
Doxper,"Health Care, Hospital",Seed,"₹72,000,000","Mumbai, Maharashtra, India",Doxper is Health tech startup which has created a digital pen and coded paper system for doctors to record patient information,2018
i2ifunding,"Crowdfunding, Finance, Financial Services",Angel,"₹50,000,000","Noida, Uttar Pradesh, India",i2ifunding is an online marketplace that connects borrowers looking for personal loans with investors looking for alternative investments.,2018
ShakeDeal,"B2B, E-Commerce, Enterprise",Seed,—,"Bangalore, Karnataka, India",Home of B2B Commerce,2018
HelloVerify,"Fraud Detection, Information Services, Security",Seed,—,"Noida, Uttar Pradesh, India",HelloVerify is an online background check platform.,2018
Fasal,"Agriculture, AgTech, Artificial Intelligence, Internet of Things, Machine Learning",Seed,120000,"Bengaluru, Karnataka, India",Climate Smart Precision Agriculture Platform,2018
CoinGeto,"Cryptocurrency, Trading Platform",Seed,"₹120,000,000","Delhi, Delhi, India",CoinGeto is one of India’s most advanced digital assets exchange.,2018
Avail Finance,"Finance, FinTech, Mobile Payments",Series A,17200000,"Bangalore, Karnataka, India",Avail is a mobile-first platform aiming to financially include the urban mass of India.,2018
Tripeur,Information Technology,Seed,600000,"Bengaluru, Karnataka, India",Radical Travel Automation - Cloud Based Corporate Travel & Expense Management Software,2018
Wedeterna,Wedding,Angel,—,"Bangalore, Karnataka, India","Wedeterna is a new-age, personalised and fresh approach to arranged marriages, DIY matrimonial community with only self created profiles.",2018
Stumagz,Digital Media,Seed,—,"Hyderabad, Andhra Pradesh, India",Stumagz is about connecting with Stories Stumagz is about collaborating with people Stumagz is about creating a Cult.,2018
Doubtnut,"E-Learning, EdTech, Education, Image Recognition, Machine Learning, STEM Education",Seed,"₹35,000,000","Gurgaon, Haryana, India",Gurgaon based E-learning platform.,2018
MCaffeine,Consumer Goods,Seed,"₹32,000,000","Mumbai, Maharashtra, India",MCaffeine is India's First Caffeine Infuse Personal Care Brand. It's an extension to the hyperactive lifestyle and individualistic identity.,2018
TrustCheckr,Information Technology,Angel,100000,"Bengaluru, Karnataka, India",A Bengaluru-based fraud analytics solution provider .,2018
HealthAssure,"Fitness, Health Care, Wellness",Seed,1000000,"Mumbai, Maharashtra, India",HealthAssure provides access to Discounted & High Quality primary care medical network.,2018
Picture TIme,Digital Entertainment,Seed,"₹250,000,000","New Delhi, Delhi, India",Operator of low-cost mobile cinema theatres in rural areas.,2018
1Crowd,"Crowdsourcing, Financial Services, Funding Platform, Venture Capital",Angel,3500000,"Mumbai, Maharashtra, India",Equity crowd funding platform focused on connecting investors with a host of extremely promising Indian start-ups and early stage ventures,2018
Aarav Unmanned Systems,"Delivery, Drones, Geospatial, Robotics",Seed,—,"Bangalore, Karnataka, India",Professional Drones for Enterprise Applications,2018
Wellthy Therapeutics Pvt Ltd,"Health Care, Hospital",Seed,"₹135,000,000","Mumbai, Maharashtra, India","Wellthy is a digital therapeutics company focused on improving patient health through the intersection of technology, and clinical outcomes.",2018
Nua,Consumer Goods,Seed,—,"Mumbai, Maharashtra, India",Nua is an e-commerce and feminine care brand platform focused on creating women care products.,2018
Kuvera.in,Financial Services,Angel,250000,"Bangalore, Karnataka, India",An online platform for mutual fund investments.,2018
Livehealth,"Health Care, Information Technology, Management Information Systems",Seed,1100000,"Pune, Maharashtra, India",Livehealth is an end-to-end collaborative report management solution. We help you get your medical reports instantly from various health,2018
Gramophone,Farming,Seed,1000000,"Indore, Madhya Pradesh, India",An agricultural inputs startup Company.,2018
Ora,"Business Travel, Hospitality, Hotel, Marketplace, Tourism, Travel Accommodations",Seed,—,"Kolkata, West Bengal, India",Ora is an online marketplace of unique accommodations. Awarded as among top 3000 startups in India by IIM Kolkata.,2018
Buddy4Study.com,"Career Planning, Education, Higher Education, Service Industry",Series A,3000000,"Noida, Uttar Pradesh, India",Buddy4Study is the best scholarship search engine for Indian students. It also helps organizations to set up their own scholarship schemes.,2018
Predible Health,Medical Device,Seed,—,"Bangalore, Karnataka, India",Healthcare devices for cancer detection,2018
Syncremedies Healthcare Pvt Ltd,"Alternative Medicine, Health Care",Seed,—,"Bangalore, Karnataka, India","Syncremedies is an Integrated Medicine service that brings together Allopathy, Ayurveda and Homeopathy to treat chronic ailments.",2018
Blueleaf Cyberspace Systems,"Internet, Software",Seed,—,"Bangalore, Karnataka, India",Bluleaf Cyberspace is Cloud Based Software Company.,2018
Toffee,—,Seed,1500000,"Gurgaon, Haryana, India","Toffee is a bite size, micro-event & contextual insurtech startup which aims to de-jargonise the insurance buying experience.",2018
ORO Wealth,—,Series A,1600000,"Mumbai, Maharashtra, India",Online wealth management platform,2018
HealWell24,"Dental, Elder Care, Health Care, Home Health Care, Personal Health",Seed,200000,"Mumbai, Maharashtra, India","HealWell24 is India's emerging technology-empowered healthcare company, aiming to bring world-class quality healthcare services anywhere.",2018
Acko General Insurance,"Financial Services, Insurance, Private Social Networking",Series A,12000000,"Mumbai, Maharashtra, India",Acko General Insurance is a digital insurance company in India that redefines insurance for the consumers.,2018
arzooo.com,"Consumer Electronics, E-Commerce, E-Commerce Platforms, Electronics, Shipping, Shopping",Seed,"₹15,000,000","Bangalore, Karnataka, India",E-commerce website promising the best price on any product a consumer buys anywhere on the internet.,2018
Bonphul Air Products,CleanTech,Angel,"₹20,000,000","Delhi, Delhi, India",A clean tech product Company,2018
DheeYantra Research Labs,Artificial Intelligence,Seed,—,"Bangalore, Karnataka, India","DheeYantra is building a cognitive conversational chatbot platform by name ""dhee.ai"" for vernacular languages",2018
Edyoo,Education,Seed,1000000,"Bengaluru, Karnataka, India","Edyoo.com is a technology platform that offers the most intuitive design, flexibility, and ease of use.",2018
Chtrbox,"Advertising, Internet, Marketing",Angel,"₹10,000,000","Mumbai, Maharashtra, India",Chtrbox connects social media influencers with brands .,2018
Aashiyaan Housing and Development Finance,Financial Services,Seed,"₹135,000,000","Kolkata, West Bengal, India",Provide housing finance to those in the informal sector enabling the hither to un-served to own a home of their own.,2018
BetterPlace Safety Solutions Pvt. Ltd.,"Human Resources, Security, Training",Series A,3000000,"Bangalore City, Karnataka, India","BetterPlace provides businesses with contractor workforce management, including onboarding, training, and background checks.",2018
Cashkumar,"Consumer Lending, Finance, FinTech",Seed,"₹50,000,000","Bengaluru, Karnataka, India",A P2P Lending Platform connecting millions of financially under-served & new to credit borrowers with investment savvy lenders in India,2018
Rocketium,"Marketing, Social Media, Video",Seed,"₹20,000,000","Bangalore, Karnataka, India",Easy video creation for social media.,2018
FreightBazaar,Transportation,Seed,—,"Hyderabad, Andhra Pradesh, India",FreightBazaar.com is an online platform that connects Truck suppliers with Truck users.,2018
OPEN,Banking,Seed,—,"Bangalore, Karnataka, India",Open up to a new world of Banking,2018
mfine,"Health Care, Hospital",Series A,4200000,"Bengaluru, Karnataka, India",Hospital & Health Care Start up,2018
Earth Food,"Food and Beverage, Food Processing",Seed,"₹64,000,000","Pune, Maharashtra, India",Earth Food is a healthy Food Start Up.,2018
Charcoal Eats,Food Processing,Seed,"₹50,000,000","Mumbai, Maharashtra, India",Charcoal Eats aims to bring Dominos style standardisation.,2018
Wishfie,Apps,Seed,—,"Bangalore, Karnataka, India",A platform for people to express their opinions in form of short videos around any topic.,2018
The Social Hook,Marketing,Seed,—,"Bengaluru, Karnataka, India",Fast growing Influencer Marketing platform in India.,2018
FreightBro,"Apps, B2B, Freight Service, Logistics, SaaS, Shipping, Supply Chain Management, Transportation",Seed,—,"Mumbai, Maharashtra, India",Software for the new-age freight,2018
Finwego,—,Seed,—,"Chennai, Tamil Nadu, India",Finwego partners with Small and Medium Businesses in India to offer convenient and responsible credit to their employees,2018
Cricnwin,"Digital Entertainment, Fantasy Sports, Gaming, Sports",Seed,—,"Gurgaon, Haryana, India",Cricnwin is a Gurugram - based Fan Engagement Platform,2018
TheCollegeFever,"Brand Marketing, Event Promotion, Marketing, Sponsorship, Ticketing",Seed,250000,"Bangalore, Karnataka, India","TheCollegeFever is a hub for fun, fiesta and frolic of Colleges.",2018
Wicked Ride Adventure Services Private Limited,"Automotive, Last Mile Transportation, Peer to Peer, Ride Sharing",Venture - Series Unknown,"$10,000,000","Bangalore, Karnataka, India",Peer-to-Peer motor vehicles sharing,2018
Career Anna,"Commercial, E-Learning, Education",Seed,"₹40,000,000","Bangalore, Karnataka, India",India's Go to Career Commerce Portal,2018
ERUDITUS Executive Education,"Continuing Education, EdTech, Education, Skill Assessment",Series C,"$40,000,000","Mumbai, Maharashtra, India","Eruditus, promoted by Alumni of INSEAD and other top business schools, delivers high quality executive education programmes",2018
Gaia Smart Cities,"Smart Cities, Telecommunications",Seed,—,"Mumbai, Maharashtra, India",Gaia Smart Cities is an early leader in the rapidly-emerging Internet of Things (IoT) marketplace.,2018
Square Off,"Internet of Things, Robotics",Seed,"$1,100,000","Mumbai, Maharashtra, India",Delivering Imagination,2018
UrbanClap,"Apps, Home Services, Information Services, Information Technology",Series D,"$50,000,000","Delhi, Delhi, India",UrbanClap is India's leading managed marketplace for home services.,2018
Hospals,"Medical, Tourism",Seed,"$1,500,000","New Delhi, Delhi, India",Hospals is a medical tourism company.,2018
Kogta Financial India Limited,Financial Services,Series B,"₹1,540,000,000","Jaipur, Rajasthan, India",Kogta Financial (India) Ltd is a retail-focused non banking financial company .,2018
Perspectico,"Career Planning, Education, Internet",Seed,—,"New Delhi, Delhi, India",An Education Management startup.,2018
The Souled Store,"Fashion, Graphic Design, Wearables",Venture - Series Unknown,"$3,000,000","Mumbai, Maharashtra, India","The Souled Store bring to you awesome t-shirts, framed prints, badges, notebooks, coasters.",2018
Hush - Speak Up. Make Work Better,"Communities, Leisure, Mobile Apps, Software",Seed,"₹45,000,000","Bangalore, Karnataka, India",Enabling diversity of opinions in organizations,2018
Drivezy,"Automotive, Rental, Sharing Economy",Debt Financing,"$100,000,000","Bengaluru, Karnataka, India",Drivezy is India's largest vehicle sharing platform which helps people turn their vehicles into earning members of their family.,2018
Freyr Energy,"Energy, Environmental Consulting, Renewable Energy, Solar",Series A,"$1,500,000","Hyderabad, Andhra Pradesh, India","Freyr Energy is a company that provides full service solar provider based in Hyderabad, India.",2018
NIRAMAI Health Analytix,"Health Care, Hospital",Seed,"$6,000,000","Bangalore, Karnataka, India",NIRAMAI has developed a novel breast cancer screening solution that uses Thermalytix.,2018
CloudSek,"Information Technology, SaaS, Security",Seed,"₹140,000,000","Bengaluru, Karnataka, India",Cloudsek is an Infosec Risk assessment company which provides intelligence needed to tackle online threats.,2018
Lendbox,"Crowdfunding, Financial Services, Internet",Seed,"₹60,000,000","Delhi, Delhi, India",Lendbox is India's leading peer-to-peer lending online lending platform.,2018
Verloop,"Customer Service, Information Technology, Internet, Sales Automation",Series A,"$3,000,000","Bangalore, Karnataka, India",Verloop is an automated customer support and engagement platform.,2018
Flickstree,"Advertising, Artificial Intelligence, Digital Media, iOS, Location Based Services, News, Video, Video on Demand, Video Streaming",Seed,—,"Mumbai, Maharashtra, India","Flickstree is a smart video content aggregator, powered by Artificial Intelligence.",2018
Paymatrix,"Credit Cards, Payments, Property Insurance, Property Management, Rental Property",Seed,"$100,000","Hyderabad, Andhra Pradesh, India",India's Leading Property Rent management platform,2018
Idha Skin Clinic,"Beauty, Cosmetics, Health Care, Service Industry",Seed,"₹5,000,000","Bangalore City, Karnataka, India",Idha skin clinic jayanagar is dedicated to restore health and natural beauty to your skin.,2018
InCred,"Banking, Finance, Financial Services",Private Equity,"$41,900,000","Mumbai, Maharashtra, India",InCred Finance is a mumbai-based non-banking financial company,2018
Vedantu,"EdTech, Education, Mobile, Tutoring",Series B,"$11,000,000","Bangalore, Karnataka, India",Vedantu provides personalized LIVE Online Tutoring. Vedantu aims to democratize teaching by creating a marketplace of Teachers,2018
Sportido,"Social Media, Sports",Seed,—,"Noida, Uttar Pradesh, India",Sportido is a sports discovery app that helps you find people and places to play 700+ sports around you.,2018
Stelis Biopharma,Biopharma,Series B,"$100,000,000","Bangalore, Karnataka, India",Stelis Biopharma is a vertically integrated biopharmaceutical company,2018
Magicpin,"E-Commerce, E-Commerce Platforms, Retail",Series C,"₹1,410,000,000","Gurgaon, Haryana, India","Magicpin is a platform where users and merchants in a locality discover, interact, and transact.",2018
Try & Buy,"E-Commerce, Fashion, Shopping",Seed,—,"New Delhi, Delhi, India",Try & Buy,2018
Mech Mocha,"Digital Entertainment, Mobile, PC Games",Series B,"$3,530,000","Bangalore, Karnataka, India",Mech Mocha is a mobile gaming startup based in Bangalore working towards ‘Making India Play’ .,2018
Aye Finance,"Finance, Financial Services, Small and Medium Businesses",Debt Financing,"₹72,000,000","Gurgaon, Haryana, India",Aye Finance provides financial services to micro and small businesses in Northern India.,2018
Aldopay,Mobile Payments,Seed,"$200,000","Chennai, Tamil Nadu, India",Mobile Wallet Focusing on hassle free checkout via Finger Print & OTP.,2018
Detect Technologies,"Artificial Intelligence, Energy, Oil and Gas",Series A,"$3,300,000","Chennai, Tamil Nadu, India",Completely automated remote control system.,2018
Signzy,"Computer, FinTech, Risk Management, Software",Series A,"₹240,000,000","Bangalore, Karnataka, India",Signzy are creating 'building blocks for a Digital Trust system.,2018
CashRich,"Apps, Financial Services, FinTech",Seed,"$1,000,000","Mumbai, Maharashtra, India",A Mumbai-based fin-tech startup,2018
Cloudnine Hospitals,"Child Care, Health Care, Hospital, Medical, Women's",Private Equity,—,"Bangalore, Karnataka, India",Cloudnine is an Indian chain of women and child care hospitals.,2018
CropIn Technologies,"Agriculture, Mobile",Series B,"₹580,000,000","Bengaluru, Karnataka, India","To discover, develop and deliver innovative solution in Agtech Space",2018
Billdesk,"Finance, FinTech, Payments, Property Development, Rental",Venture - Series Unknown,—,"Ahmedabad, Gujarat, India","BillDesk, a property of IndiaIdeas.com Ltd. was conceived in early 2000 to solve the frustrations of most of us when it comes to paying",2018
Yaantra,"Information Services, Information Technology, Mobile, Software",Debt Financing,"$2,000,000","Delhi, Delhi, India","Yaantra, India’s leading mobile phone repair, refurbished & Unboxed centre In India",2018
TECHBOOZE,Education,Seed,"$100,000","New Delhi, Delhi, India","Techbooze[1] ""AN OPEN FORUM"" is an educational enterprise, headquartered in India working across the country.",2018
HealthifyMe,"Apps, Fitness, Health Care, mHealth",Series B,"$6,000,000","Bangalore, Karnataka, India",HealthifyMe is an application that allows its users to achieve their fitness and weight loss goals from their computers and smartphones.,2018
hoi foods,"Food and Beverage, Food Delivery",Seed,"₹36,000,000","Gurgaon, Haryana, India",India's first hotel dedicated food brand which promises great in room dining experience in budget hotels,2018
Perpule,"Apps, Payments, Retail",Series A,"₹340,000,000","Bangalore, Karnataka, India",Perpule is a self-checkout product for retail outlets to enhance the shopping experience of the customers.,2018
Royal Sundaram General Insurance Co. Limited,"Health Insurance, Insurance, Life Insurance",Corporate Round,"$210,000,000","Kalpakkam, Tamil Nadu, India","Royal Sundaram provides comprehensive insurance plans and innovative insurance solutions to individuals, families and businesses.",2018
CleanseCar,Automotive,Angel,"₹35,000,000","Bangalore, Karnataka, India",CleanseCar is a company provides Washing and Repair Services.,2018
DRIVEU,"Rental, Taxi Service, Travel",Venture - Series Unknown,"₹70,000,000","Bengaluru, Karnataka, India",DriveU is a convenient and a quick way of getting on demand drivers for consumers and businesses,2018
Spinny,"E-Commerce, E-Commerce Platforms, Internet, Retail",Series A,"$11,000,000","Gurgaon, Haryana, India",Used cars marketplace in India. Ushering new era of transparency and convenience.,2018
Asset Reconstruction Company (India) Ltd.,"Financial Services, Professional Services",Secondary Market,—,"Mumbai, Maharashtra, India",Asset Reconstruction Company (India) Ltd. operates as a asset reconstruction company.,2018
Med365 Healthcare,Health Diagnostics,Seed,"₹50,000,000","Jaipur, Rajasthan, India","Wellness, Specialised Testing, Healthcare at Home",2018
Dunzo,"Customer Service, Messaging, Mobile Apps, Personalization",Debt Financing,"₹70,000,000","Bangalore, Karnataka, India",Dunzo is an app that connects you with the nearest available delivery partner to pickup or deliver items for you.,2018
Mobile Premier League (MPL),"Gaming, iOS, Sports",Series A,"$5,000,000","Bengaluru, Karnataka, India",Mobile Premier League(MPL) is a skill based E-Sports platform where you can play your favourite mobile games and win real cash always.,2018
